datetime,name,open,high,low,close,volume,oi,type,expiry,symbol,ltp,ltt,ltq,cp,atp,segment,bid_px,bid_qty,ask_px,ask_qty,bid_px_2,bid_qty_2,ask_px_2,ask_qty_2,bid_px_3,bid_qty_3,ask_px_3,ask_qty_3,bid_px_4,bid_qty_4,ask_px_4,ask_qty_4,bid_px_5,bid_qty_5,ask_px_5,ask_qty_5,ohlc_vol,ohlc_ts,tbq,tsq,vtt
2026-08-07 09:46:13.219,BANKNIFTY,58010.0,58079.0,57977.2,58030.0,55140,2116680,FUT,2026-08-25,BANKNIFTY FUT 25 AUG 26,58030.0,1786076169474,60,58179.6,58032.0,NFO-FUT,58030.0,450,58030.2,120,58023.8,90,58036.6,60,58023.4,30,58037.2,30,58021.6,30,58037.4,150,58021.4,30,58037.8,30,55140,1786041000000,55620,46350,55140
2026-08-07 09:46:13.585,BANKNIFTY,58010.0,58079.0,57977.2,58030.0,55140,2116680,FUT,2026-08-25,BANKNIFTY FUT 25 AUG 26,58030.0,1786076169474,60,58179.6,58032.0,NFO-FUT,58030.0,450,58030.2,120,58022.8,30,58036.0,90,58022.0,30,58036.4,120,58021.8,30,58036.8,60,58020.8,90,58037.4,30,55140,1786041000000,55650,46260,55140
2026-08-07 09:46:14.779,BANKNIFTY,58010.0,58079.0,57977.2,58030.0,55140,2116680,FUT,2026-08-25,BANKNIFTY FUT 25 AUG 26,58030.0,1786076169474,60,58179.6,58032.0,NFO-FUT,58030.0,450,58030.2,120,58023.0,90,58035.2,90,58021.2,30,58035.6,120,58020.6,30,58036.0,60,58020.4,60,58036.2,30,55140,1786041000000,55260,45060,55140
2026-08-07 09:46:15.977,BANKNIFTY,58010.0,58079.0,57977.2,58030.0,55140,2116680,FUT,2026-08-25,BANKNIFTY FUT 25 AUG 26,58030.0,1786076169474,60,58179.6,58032.0,NFO-FUT,58030.0,450,58030.2,120,58024.2,90,58037.8,60,58022.6,30,58038.0,30,58022.4,30,58038.2,120,58022.2,30,58038.4,30,55140,1786041000000,54180,45480,55140
2026-08-07 09:46:15.624,BANKNIFTY,58409.6,58452.4,58320.2,58395.0,7290,165000,FUT,2026-09-29,BANKNIFTY FUT 29 SEP 26,58395.0,1786076111499,30,58531.6,58394.74,NFO-FUT,58395.0,30,58400.0,30,58392.0,120,58407.0,30,58390.2,180,58407.8,30,58390.0,90,58408.2,120,58385.2,30,58409.0,30,7290,1786041000000,19020,13110,7290
2026-08-07 09:46:16.442,BANKNIFTY,58409.6,58452.4,58320.2,58395.0,7290,165000,FUT,2026-09-29,BANKNIFTY FUT 29 SEP 26,58395.0,1786076111499,30,58531.6,58394.74,NFO-FUT,58395.0,30,58400.0,30,58392.0,120,58409.4,30,58390.2,180,58410.4,120,58390.0,90,58410.6,30,58385.2,30,58410.8,30,7290,1786041000000,19020,13380,7290
2026-08-07 09:46:17.478,BANKNIFTY,58010.0,58079.0,57977.2,58030.0,55140,2116680,FUT,2026-08-25,BANKNIFTY FUT 25 AUG 26,58030.0,1786076169474,60,58179.6,58032.0,NFO-FUT,58030.0,450,58030.2,120,58022.2,120,58036.4,60,58021.2,30,58036.6,30,58021.0,30,58036.8,120,58020.4,60,58037.0,60,55140,1786041000000,55500,46290,55140
2026-08-07 09:46:17.645,BANKNIFTY,58409.6,58452.4,58320.2,58395.0,7290,165000,FUT,2026-09-29,BANKNIFTY FUT 29 SEP 26,58395.0,1786076111499,30,58531.6,58394.74,NFO-FUT,58395.0,30,58400.0,30,58392.0,120,58407.6,30,58390.2,180,58409.2,180,58390.0,90,58409.6,30,58385.2,30,58409.8,30,7290,1786041000000,17760,13380,7290
2026-08-07 09:46:17.944,BANKNIFTY,58701.2,58755.2,58679.0,58723.0,3000,21150,FUT,2026-10-27,BANKNIFTY FUT 27 OCT 26,58723.0,1786076122728,30,58843.6,58718.78,NFO-FUT,58679.2,60,58720.6,30,58679.0,30,58720.8,150,58677.8,90,58721.8,30,58675.4,120,58722.0,300,58675.2,30,58722.4,300,3000,1786041000000,6900,7440,3000
2026-08-07 09:46:18.053,BANKNIFTY,58701.2,58755.2,58679.0,58723.0,3000,21150,FUT,2026-10-27,BANKNIFTY FUT 27 OCT 26,58723.0,1786076122728,30,58843.6,58718.78,NFO-FUT,58679.2,60,58720.6,30,58679.0,30,58720.8,150,58677.8,90,58721.8,30,58675.4,120,58722.0,300,58675.2,30,58722.4,300,3000,1786041000000,6900,7440,3000
2026-08-07 09:46:18.687,BANKNIFTY,58010.0,58079.0,57977.2,58030.0,55140,2116680,FUT,2026-08-25,BANKNIFTY FUT 25 AUG 26,58030.0,1786076169474,60,58179.6,58032.0,NFO-FUT,58030.0,450,58030.2,120,58020.6,90,58033.2,60,58020.4,60,58034.4,90,58020.0,90,58034.6,120,58019.0,30,58034.8,30,55140,1786041000000,55140,46290,55140
2026-08-07 09:46:18.843,BANKNIFTY,58409.6,58452.4,58320.2,58395.0,7290,165000,FUT,2026-09-29,BANKNIFTY FUT 29 SEP 26,58395.0,1786076111499,30,58531.6,58394.74,NFO-FUT,58395.0,30,58400.0,30,58392.0,120,58405.8,30,58390.2,180,58406.8,120,58390.0,90,58407.8,30,58385.2,30,58408.2,30,7290,1786041000000,19020,13470,7290
2026-08-07 09:46:19.259,BANKNIFTY,58701.2,58755.2,58679.0,58723.0,3000,21150,FUT,2026-10-27,BANKNIFTY FUT 27 OCT 26,58723.0,1786076122728,30,58843.6,58718.78,NFO-FUT,58679.2,60,58717.4,30,58679.0,30,58717.6,150,58675.4,120,58721.8,150,58675.2,30,58722.0,300,58675.0,30,58722.2,60,3000,1786041000000,6840,7440,3000
2026-08-07 09:46:19.887,BANKNIFTY,58010.0,58079.0,57977.2,58030.0,55140,2116680,FUT,2026-08-25,BANKNIFTY FUT 25 AUG 26,58030.0,1786076169474,60,58179.6,58032.0,NFO-FUT,58030.0,450,58030.2,120,58020.6,90,58031.6,60,58020.4,60,58034.0,30,58020.0,90,58034.4,180,58018.0,30,58034.8,60,55140,1786041000000,54990,45750,55140
2026-08-07 09:46:20.043,BANKNIFTY,58409.6,58452.4,58320.2,58395.0,7290,165000,FUT,2026-09-29,BANKNIFTY FUT 29 SEP 26,58395.0,1786076111499,30,58531.6,58394.74,NFO-FUT,58395.0,30,58400.0,30,58392.0,120,58405.0,30,58390.2,180,58406.8,150,58390.0,90,58407.0,30,58385.2,30,58408.6,210,7290,1786041000000,18120,12870,7290
2026-08-07 09:46:20.454,BANKNIFTY,58701.2,58755.2,58679.0,58723.0,3000,21150,FUT,2026-10-27,BANKNIFTY FUT 27 OCT 26,58723.0,1786076122728,30,58843.6,58718.78,NFO-FUT,58679.2,60,58717.4,30,58679.0,30,58717.6,150,58675.4,120,58721.8,150,58675.2,30,58722.0,300,58675.0,30,58722.2,60,3000,1786041000000,6840,7440,3000
2026-08-07 09:46:20.782,BANKNIFTY,58010.0,58079.0,57977.2,58030.0,55590,2117010,FUT,2026-08-25,BANKNIFTY FUT 25 AUG 26,58030.0,1786076180645,450,58179.6,58032.0,NFO-FUT,58030.0,450,58030.2,120,58020.6,90,58031.6,60,58020.4,60,58034.0,30,58020.0,90,58034.4,180,58018.0,30,58034.8,60,55140,1786041000000,54990,45750,55590
2026-08-07 09:46:21.078,BANKNIFTY,58010.0,58079.0,57977.2,58030.0,55590,2117010,FUT,2026-08-25,BANKNIFTY FUT 25 AUG 26,58030.0,1786076180645,450,58179.6,58031.99,NFO-FUT,58020.6,90,58030.2,180,58020.4,60,58031.2,60,58020.0,90,58031.8,150,58016.0,30,58032.0,30,58015.6,30,58032.2,60,55590,1786041000000,52230,46680,55590
2026-08-07 09:46:21.250,BANKNIFTY,58010.0,58079.0,57977.2,58032.0,56190,2117010,FUT,2026-08-25,BANKNIFTY FUT 25 AUG 26,58032.0,1786076180979,150,58179.6,58031.99,NFO-FUT,58020.6,90,58030.2,180,58020.4,60,58031.2,60,58020.0,90,58031.8,150,58016.0,30,58032.0,30,58015.6,30,58032.2,60,55590,1786041000000,52230,46680,56190
2026-08-07 09:46:21.252,BANKNIFTY,58409.6,58452.4,58320.2,58395.0,7290,165000,FUT,2026-09-29,BANKNIFTY FUT 29 SEP 26,58395.0,1786076111499,30,58531.6,58394.74,NFO-FUT,58395.0,30,58400.0,30,58392.0,120,58404.6,30,58390.2,180,58405.8,150,58390.0,90,58406.6,30,58385.2,30,58406.8,90,7290,1786041000000,17760,12690,7290
2026-08-07 09:46:21.655,BANKNIFTY,58701.2,58755.2,58679.0,58723.0,3000,21150,FUT,2026-10-27,BANKNIFTY FUT 27 OCT 26,58723.0,1786076122728,30,58843.6,58718.78,NFO-FUT,58679.0,30,58717.4,30,58673.0,60,58717.6,150,58672.8,30,58718.2,30,58672.6,150,58719.6,300,58671.6,90,58720.6,150,3000,1786041000000,6840,7590,3000
