datetime,name,open,high,low,close,volume,oi,iv,expiry,strike,type,segment,symbol,delta,gamma,theta,vega,rho,atp,ltp,ltt,ltq,cp,bid_px,bid_qty,ask_px,ask_qty,bid_px_2,bid_qty_2,ask_px_2,ask_qty_2,bid_px_3,bid_qty_3,ask_px_3,ask_qty_3,bid_px_4,bid_qty_4,ask_px_4,ask_qty_4,bid_px_5,bid_qty_5,ask_px_5,ask_qty_5,ohlc_vol,ohlc_ts,tbq,tsq,vtt
2026-08-07 09:46:13.219,BANKNIFTY,0.0,0.0,0.0,0.0,0,0,0.0,2026-10-27,62700.0,CE,NFO-OPT,BANKNIFTY 62700 CE 27 OCT 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315513000000,0,732.65,0.0,0.0,529.35,90.0,0.0,0.0,598.25,90.0,0.0,0.0,720.65,570.0,0.0,0.0,720.7,570.0,0.0,0.0,720.85,570.0,4294967296.0,1786041000000.0,0,1890,0
2026-08-07 09:46:13.219,BANKNIFTY,0.0,0.0,0.0,0.0,0,0,0.0,2026-09-29,65500.0,CE,NFO-OPT,BANKNIFTY 65500 CE 29 SEP 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315513000000,0,462.7,17.15,90.0,98.4,360.0,0.0,0.0,99.4,600.0,0.0,0.0,100.05,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1786041000000.0,90,1560,0
2026-08-07 09:46:13.219,BANKNIFTY,0.0,0.0,0.0,0.0,0,0,0.0,2026-10-27,52800.0,PE,NFO-OPT,BANKNIFTY 52800 PE 27 OCT 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315513000000,0,640.15,0.0,0.0,233.85,90.0,0.0,0.0,389.75,60.0,0.0,0.0,389.8,570.0,0.0,0.0,389.85,570.0,0.0,0.0,411.05,90.0,0.0,1786041000000.0,0,1950,0
2026-08-07 09:46:13.219,BANKNIFTY,70.0,76.45,70.0,75.05,1620,15990,0.169525146484375,2026-09-29,52500.0,PE,NFO-OPT,BANKNIFTY 52500 PE 29 SEP 26,-0.0469,0.0,-3.4774,21.8414,-4.1015,75.29,75.05,1786075889218,30,68.3,73.4,60.0,75.0,30.0,73.35,30.0,75.05,30.0,73.25,30.0,75.25,90.0,73.15,30.0,76.8,90.0,73.05,30.0,77.65,90.0,1620.0,1786041000000.0,7200,1500,1620
2026-08-07 09:46:13.219,BANKNIFTY,6.7,6.95,5.95,6.75,570,55110,0.30059814453125,2026-08-25,49000.0,PE,NFO-OPT,BANKNIFTY 49000 PE 25 AUG 26,-0.0053,0.0,-1.6381,1.9879,-0.1581,6.58,6.75,1786075291217,60,6.8,6.15,90.0,6.75,120.0,6.1,30.0,6.85,30.0,6.0,90.0,6.9,480.0,5.85,420.0,6.95,30.0,5.8,330.0,7.0,600.0,570.0,1786041000000.0,135360,8250,570
2026-08-07 09:46:13.219,BANKNIFTY,0.0,0.0,0.0,0.0,0,0,0.0,2026-09-29,60200.0,CE,NFO-OPT,BANKNIFTY 60200 CE 29 SEP 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315513000000,0,1693.65,0.0,0.0,667.75,30.0,0.0,0.0,849.65,570.0,0.0,0.0,849.7,570.0,0.0,0.0,849.75,570.0,0.0,0.0,0.0,0.0,0.0,1786041000000.0,0,1740,0
2026-08-07 09:46:13.219,BANKNIFTY,1234.75,1234.75,1144.0,1169.65,3840,71610,0.131378173828125,2026-08-25,57200.0,CE,NFO-OPT,BANKNIFTY 57200 CE 25 AUG 26,0.6933,0.0002,-16.4053,45.5498,19.5193,1158.78,1169.65,1786076095001,60,1263.65,1153.45,300.0,1163.85,30.0,1153.4,60.0,1163.9,30.0,1153.35,30.0,1164.6,60.0,1152.0,30.0,1165.75,30.0,1149.75,30.0,1168.0,30.0,3840.0,1786041000000.0,5340,7020,3840
2026-08-07 09:46:13.219,BANKNIFTY,0.0,0.0,0.0,0.0,0,0,0.0,2026-10-27,56800.0,PE,NFO-OPT,BANKNIFTY 56800 PE 27 OCT 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315513000000,0,1965.05,0.0,0.0,1009.75,450.0,0.0,0.0,1009.8,450.0,0.0,0.0,1009.9,30.0,0.0,0.0,1010.1,300.0,0.0,0.0,2004.65,60.0,0.0,1786041000000.0,0,1290,0
2026-08-07 09:46:13.219,BANKNIFTY,8.25,8.95,6.6,6.6,150,240,0.2703857421875,2026-08-25,49900.0,PE,NFO-OPT,BANKNIFTY 49900 PE 25 AUG 26,-0.0058,0.0,-1.5755,2.126,-0.1702,8.01,6.6,1786075278534,30,6.9,6.15,600.0,8.25,30.0,6.1,600.0,8.75,30.0,6.05,300.0,8.8,30.0,5.65,60.0,8.9,30.0,5.55,300.0,9.0,150.0,150.0,1786041000000.0,5130,1260,150
2026-08-07 09:46:13.219,BANKNIFTY,0.0,0.0,0.0,0.0,0,0,0.0,2026-10-27,62700.0,PE,NFO-OPT,BANKNIFTY 62700 PE 27 OCT 26,-1.0,0.0,0.0,0.0,-139.5527,0.0,0.0,315513000000,0,5735.35,3408.7,30.0,5991.45,570.0,3408.65,570.0,5991.5,330.0,3408.45,570.0,5991.55,30.0,3408.35,570.0,5991.65,570.0,3370.25,90.0,5992.1,570.0,0.0,1786041000000.0,1830,2160,0
