datetime,name,open,high,low,close,volume,oi,type,expiry,symbol,ltp,ltt,ltq,cp,atp,segment,bid_px,bid_qty,ask_px,ask_qty,bid_px_2,bid_qty_2,ask_px_2,ask_qty_2,bid_px_3,bid_qty_3,ask_px_3,ask_qty_3,bid_px_4,bid_qty_4,ask_px_4,ask_qty_4,bid_px_5,bid_qty_5,ask_px_5,ask_qty_5,ohlc_vol,ohlc_ts,tbq,tsq,vtt
2026-08-07 09:46:13.219,MIDCPNIFTY,14897.85,14955.4,14861.55,14950.1,33600,1918800,FUT,2026-08-25,MIDCPNIFTY FUT 25 AUG 26,14950.1,1786076161961,120,14897.85,14930.64,NFO-FUT,14939.0,240,14949.65,120,14938.95,120,14949.85,240,14938.4,600,14949.9,240,14938.0,240,14949.95,120,14937.75,120,14950.05,120,33600,1786041000000,43320,36000,33600
2026-08-07 09:46:13.288,MIDCPNIFTY,14897.85,14955.4,14861.55,14950.1,33600,1918800,FUT,2026-08-25,MIDCPNIFTY FUT 25 AUG 26,14950.1,1786076161961,120,14897.85,14930.64,NFO-FUT,14939.0,240,14949.35,120,14938.95,120,14949.4,120,14938.0,240,14949.45,120,14937.65,360,14949.5,120,14937.55,480,14949.6,360,33600,1786041000000,42360,35520,33600
2026-08-07 09:46:14.485,MIDCPNIFTY,14897.85,14955.4,14861.55,14950.1,33600,1918800,FUT,2026-08-25,MIDCPNIFTY FUT 25 AUG 26,14950.1,1786076161961,120,14897.85,14930.64,NFO-FUT,14938.95,120,14949.0,120,14938.05,240,14949.05,240,14938.0,240,14949.1,120,14936.7,2040,14949.15,240,14936.65,240,14949.3,120,33600,1786041000000,43320,35280,33600
2026-08-07 09:46:15.686,MIDCPNIFTY,14897.85,14955.4,14861.55,14950.1,33600,1918800,FUT,2026-08-25,MIDCPNIFTY FUT 25 AUG 26,14950.1,1786076161961,120,14897.85,14930.64,NFO-FUT,14939.0,240,14948.85,120,14938.95,120,14948.9,120,14938.0,240,14949.0,240,14936.95,360,14949.1,360,14936.85,480,14949.15,360,33600,1786041000000,42600,36120,33600
2026-08-07 09:46:15.624,MIDCPNIFTY,14975.0,14989.0,14967.8,14989.0,720,62520,FUT,2026-09-29,MIDCPNIFTY FUT 29 SEP 26,14989.0,1786076092135,120,14944.5,14972.63,NFO-FUT,14987.1,120,14996.25,120,14986.5,120,14996.3,120,14985.05,120,14996.75,120,14984.25,120,14997.75,240,14984.15,240,14997.8,360,720,1786041000000,11760,11280,720
2026-08-07 09:46:17.033,MIDCPNIFTY,14897.85,14955.4,14861.55,14950.1,33600,1918800,FUT,2026-08-25,MIDCPNIFTY FUT 25 AUG 26,14950.1,1786076161961,120,14897.85,14930.64,NFO-FUT,14938.95,120,14948.05,120,14938.05,240,14948.1,240,14938.0,240,14948.35,120,14936.3,720,14948.4,240,14936.2,120,14948.45,120,33600,1786041000000,44040,37560,33600
2026-08-07 09:46:17.944,MIDCPNIFTY,15000.0,15030.0,15000.0,15030.0,1080,6480,FUT,2026-10-27,MIDCPNIFTY FUT 27 OCT 26,15030.0,1786076117109,120,14989.9,15006.66,NFO-FUT,14986.35,120,15039.85,120,14986.3,600,15039.9,360,14986.2,120,15042.85,120,14983.2,480,15042.95,240,14972.05,480,15045.9,240,1080,1786041000000,3600,6120,1080
2026-08-07 09:46:18.385,MIDCPNIFTY,14897.85,14955.4,14861.55,14950.1,33600,1918800,FUT,2026-08-25,MIDCPNIFTY FUT 25 AUG 26,14950.1,1786076161961,120,14897.85,14930.64,NFO-FUT,14938.95,120,14948.05,120,14938.05,240,14948.1,240,14938.0,240,14948.25,120,14936.3,720,14948.3,120,14936.15,840,14948.35,120,33600,1786041000000,43800,36720,33600
2026-08-07 09:46:19.588,MIDCPNIFTY,14897.85,14955.4,14861.55,14950.1,33600,1918800,FUT,2026-08-25,MIDCPNIFTY FUT 25 AUG 26,14950.1,1786076161961,120,14897.85,14930.64,NFO-FUT,14939.0,240,14947.95,120,14938.95,120,14948.0,120,14938.0,240,14948.05,120,14936.3,720,14948.1,120,14936.15,840,14948.15,120,33600,1786041000000,43800,35880,33600
2026-08-07 09:46:20.782,MIDCPNIFTY,14897.85,14955.4,14861.55,14950.1,33600,1918800,FUT,2026-08-25,MIDCPNIFTY FUT 25 AUG 26,14950.1,1786076161961,120,14897.85,14930.64,NFO-FUT,14938.95,120,14947.45,120,14938.05,240,14947.5,120,14938.0,240,14947.6,120,14936.1,240,14947.7,120,14936.05,120,14947.75,120,33600,1786041000000,42240,35880,33600
2026-08-07 09:46:21.976,MIDCPNIFTY,14897.85,14955.4,14861.55,14950.1,33600,1918800,FUT,2026-08-25,MIDCPNIFTY FUT 25 AUG 26,14950.1,1786076161961,120,14897.85,14930.64,NFO-FUT,14938.95,120,14947.4,120,14938.05,240,14947.45,120,14938.0,240,14947.5,120,14935.9,120,14947.6,240,14935.85,120,14947.65,120,33600,1786041000000,43320,33840,33600
2026-08-07 09:46:22.425,MIDCPNIFTY,14897.85,14955.4,14861.55,14947.4,33720,1924320,FUT,2026-08-25,MIDCPNIFTY FUT 25 AUG 26,14947.4,1786076182205,120,14897.85,14930.64,NFO-FUT,14938.95,120,14947.4,120,14938.05,240,14947.45,120,14938.0,240,14947.5,120,14935.9,120,14947.6,240,14935.85,120,14947.65,120,33600,1786041000000,43320,33840,33720
