datetime,name,open,high,low,close,volume,oi,iv,expiry,strike,type,segment,symbol,delta,gamma,theta,vega,rho,atp,ltp,ltt,ltq,cp,bid_px,bid_qty,ask_px,ask_qty,bid_px_2,bid_qty_2,ask_px_2,ask_qty_2,bid_px_3,bid_qty_3,ask_px_3,ask_qty_3,bid_px_4,bid_qty_4,ask_px_4,ask_qty_4,bid_px_5,bid_qty_5,ask_px_5,ask_qty_5,ohlc_vol,ohlc_ts,tbq,tsq,vtt
2026-08-07 09:46:13.219,SENSEX,,,,,0,0,0.0,2026-08-13,74400.0,CE,BFO-OPT,SENSEX 74400 CE 13 AUG 26,1.0,0.0,0.0,0.0,12.7185,0.0,0.0,0,0,4634.85,3062.4,500,6089.4,500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,,500,500,0
2026-08-07 09:46:13.219,SENSEX,1139.75,1152.65,1139.75,1151.25,140,800,0.12216567993164062,2026-08-20,78200.0,CE,BFO-OPT,SENSEX 78200 CE 20 AUG 26,0.6594,0.0002,-25.431,55.1178,18.459,1143.88,1151.25,1786075700928,20,1249.5,1147.1,80,1157.75,20,1145.5,20,1158.2,60,1144.85,80,1158.25,80,1140.05,20,1159.5,80,1140.0,100,1160.0,100,140.0,1786041000000.0,2660,2440,140
2026-08-07 09:46:13.219,SENSEX,1675.75,2698.0,1675.75,2698.0,260,28620,0.125274658203125,2026-08-27,76500.0,CE,BFO-OPT,SENSEX 76500 CE 27 AUG 26,0.8694,0.0001,-12.227,39.5067,36.607,2604.13,2698.0,1786075690337,200,2992.55,2600.45,40,2697.6,220,2600.3,200,2697.7,40,2600.2,220,2698.0,20,2579.45,20,2715.0,20,2559.5,20,2719.75,20,260.0,1786041000000.0,1120,500,260
2026-08-07 09:46:13.219,SENSEX,,,,,0,0,0.0,2026-09-10,80100.0,PE,BFO-OPT,SENSEX 80100 PE 10 SEP 26,-1.0,0.0,0.0,0.0,-75.1378,0.0,0.0,0,0,1956.05,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,,0,0,0
2026-08-07 09:46:13.219,SENSEX,120.0,143.15,97.25,131.75,222740,46840,0.133514404296875,2026-08-13,80100.0,CE,BFO-OPT,SENSEX 80100 CE 13 AUG 26,0.1795,0.0002,-28.8839,26.9933,2.3958,124.57,131.75,1786076171055,20,167.95,131.25,20,131.7,20,131.2,40,131.85,20,131.15,20,131.95,420,131.1,60,132.0,200,131.05,20,132.05,20,222740.0,1786041000000.0,43260,19860,222740
2026-08-07 09:46:13.219,SENSEX,,,,,0,0,0.0,2026-09-03,74600.0,CE,BFO-OPT,SENSEX 74600 CE 03 SEP 26,1.0,0.0,0.0,0.0,55.6716,0.0,0.0,0,0,4800.15,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,,0,0,0
2026-08-07 09:46:13.219,SENSEX,1055.1,1062.0,1012.65,1021.05,4400,8780,0.13093948364257812,2026-08-13,79600.0,PE,BFO-OPT,SENSEX 79600 PE 13 AUG 26,-0.7156,0.0003,-36.6752,34.9486,-9.8146,1040.66,1021.05,1786076112448,20,853.55,1034.6,80,1039.75,20,1034.05,60,1039.95,280,1033.6,60,1040.0,80,1032.7,100,1040.15,20,1030.1,20,1040.85,100,4400.0,1786041000000.0,10740,9740,4400
2026-08-07 09:46:13.219,SENSEX,,,,,0,0,0.0,2026-09-10,82700.0,PE,BFO-OPT,SENSEX 82700 PE 10 SEP 26,-1.0,0.0,0.0,0.0,-77.5922,0.0,0.0,0,0,3766.15,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,,0,0,0
2026-08-07 09:46:13.219,SENSEX,,,,,0,200,0.0,2026-08-27,74500.0,CE,BFO-OPT,SENSEX 74500 CE 27 AUG 26,1.0,0.0,0.0,0.0,41.3093,0.0,3044.0,1785145297274,20,4759.1,3154.3,500,4713.2,20,3154.25,20,0.0,0,3154.15,20,0.0,0,3154.05,20,0.0,0,3153.95,20,0.0,0,,,660,20,0
2026-08-07 09:46:13.219,SENSEX,,,,,0,0,0.0,2026-08-27,75900.0,CE,BFO-OPT,SENSEX 75900 CE 27 AUG 26,1.0,0.0,0.0,0.0,42.0882,0.0,0.0,0,0,3493.85,1939.15,500,4524.55,500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,,500,500,0
